game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3237859,157,2,8,Jess Thorup,1096,3,2,László Bölöni,Away,0
3237909,1184,1,7,Felice Mazzù,2282,1,3,Philippe Clement,Away,0
3237941,58,1,13,Vincent Kompany,2282,2,3,Philippe Clement,Away,0
3237979,28643,0,15,Arnauld Mercier,58,0,13,Simon Davies,Away,0
3237981,601,0,12,Yves Vanderhaeghe,157,2,4,Jess Thorup,Away,0
3237983,1096,1,3,László Bölöni,2861,1,11,Kare Ingebrigtsen,Away,0
3237991,520,0,16,Fabien Mercadal,3508,6,7,Francky Dury,Away,0
3239012,16239,2,2,Oleksandr Ryabokon,338,1,4,Oleksiy Mykhaylychenko,Away,1
3239013,2740,1,10,Vitaliy Kosovskyi,2477,2,9,Roman Sanzhar,Away,0
3239016,18303,1,4,Volodymyr Sharan,48332,1,7,Ruslan Kostyshyn,Away,0
3240351,4271,0,,Massimo Pavanel,839,1,,Massimo Oddo,Away,0
3240353,9439,2,,Damiano Zenoni,21331,1,,Attilio Tesser,Away,1
3242076,1038,3,,Eusebio Di Francesco,4083,1,,Giovanni Stroppa,Away,1
3242079,4324,1,,Federico Coppitelli,252,4,,Aurelio Andreazzoli,Away,0
3242081,607,1,,Alessio Dionisi,130,3,,Roberto D'Aversa,Away,0
3244617,157,1,,Jess Thorup,144,1,,Igor Biscan,Away,0
3244631,371,4,,Neil Lennon,272,1,,Rikard Norling,Away,1
3245514,48,1,,Alois Schwartz,105,0,,Dimitrios Grammozis,Away,1
3246414,1025,0,,Siniša Mihajlović,410,4,,Luca Gotti,Away,0
3246423,61761,6,,Ivan Bogatyr,29109,7,,Volodymyr Mazyar,Away,0
3250275,362,2,,Patrick Braune,5892,1,,Ulrik Balling,Away,1
3252160,1082,0,,Christophe Galtier,610,3,,Erik ten Hag,Away,0
3252165,27,7,,Niko Kovac,148,2,,Mauricio Pochettino,Away,1
3252196,16,0,,Lucien Favre,46,2,,Antonio Conte,Away,0
3252206,23826,2,,Julian Nagelsmann,964,0,,Sergey Semak,Away,1
3252218,2282,1,,Philippe Clement,141,1,,Fatih Terim,Away,0
3252232,631,2,,Frank Lampard,1049,2,,Albert Celades,Away,0
3252238,964,0,,Sergey Semak,294,3,,Bruno Lage,Away,0
3252243,141,0,,Fatih Terim,583,5,,Thomas Tuchel,Away,0
3252426,452,1,,Gerardo Seoane,720,2,,Sérgio Conceição,Away,0
3252449,24,1,,Adi Hütter,2420,0,,Ivo Vieira,Away,1
